State,Initial,Region,Row,Column,Population,Index,Violent,Property,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto
Alabama,AL,South,6,7,"3,266,740",1222,186.6,1035.4,12.4,8.6,27.5,138.1,355.9,592.1,87.3
Alaska,AK,West,0,0,"226,167",1649.2,104.3,1544.9,10.2,20.8,28.3,45.1,332.1,970.5,242.3
Arizona,AZ,West,5,2,"1,302,161",3013.7,207.7,2806,6,16.1,54.2,131.4,685.5,1782.2,338.4
Arkansas,AR,South,5,5,"1,786,272",1034.1,107.7,926.4,8.5,8.9,24.8,65.5,302.2,573.8,50.3
California,CA,West,4,1,"15,717,204",3474.3,239,3235.4,3.9,18.2,97.3,119.6,910.5,1984.8,340.1
Colorado,CO,West,4,3,"1,753,947",2172.4,137.3,2035.1,4.2,13.1,77.7,42.4,569.9,1251.4,213.8
Connecticut,CT,Northeast,3,10,"2,535,234",1156.5,36.6,1119.9,1.6,4.1,9.3,21.6,333.4,656.9,129.7
Delaware,DE,Northeast,5,9,"446,292",2160.5,84,2076.4,7.4,9.2,35.2,32.3,596.2,1314.6,165.6
Florida,FL,South,7,9,"4,951,560",2704.6,223.4,2481.2,10.6,8.1,80.9,123.7,807.1,1486.5,187.6
Georgia,GA,South,6,8,"3,943,116",1407.9,158.8,1249.1,11.9,7.5,24.7,114.8,392.1,709.6,147.4
Hawaii,HI,West,7,1,"632,772",2298.3,21.8,2276.5,2.4,3.3,10.9,5.2,525.9,1480.6,269.9
Idaho,ID,West,2,2,"667,191",1771,38.2,1732.8,2.4,7.2,13.8,14.8,301.4,1331.4,100
Illinois,IL,Midwest,2,6,"10,081,158",2341.8,365.1,1976.8,4.9,17.6,208.8,133.8,577.7,1045.7,353.3
Indiana,IN,Midwest,3,6,"4,662,498",1553.7,84.6,1469.1,4.4,5.1,34.5,40.6,460.8,840.7,167.6
Iowa,IA,Midwest,3,5,"2,757,537",1123.9,23.8,1100.1,0.6,3.7,10.9,8.6,231.2,792.9,76
Kansas,KS,Midwest,5,4,"2,178,611",1395,58.4,1336.6,2.9,5,18.8,31.6,353.7,895.8,87.2
Kentucky,KY,South,4,6,"3,038,156",1212.7,97.3,1115.4,6.7,5.4,32.9,52.3,371.1,619.8,124.5
Louisiana,LA,South,6,5,"3,257,022",1495.2,153.2,1342,8.3,8.6,45.6,90.8,387.3,764.3,190.4
Maine,ME,Northeast,0,11,"969,265",1188.2,29.8,1158.4,1.7,5,7.9,15.3,278.8,756.7,123
Maryland,DE,South,4,9,"3,100,689",1670,151.3,1518.8,5.4,7.2,37.3,101.3,366.4,968.3,184.1
Massachusetts,MA,Northeast,2,11,"5,148,578",1219.1,48.8,1170.3,1.4,4.8,20.4,22.1,309.2,650.1,211.1
Michigan,MI,Midwest,2,8,"7,823,194",2659.2,217.7,2441.5,4.5,14.5,93.7,105,725.1,1536.9,179.5
Minnesota,MN,Midwest,2,5,"3,413,864",1466.1,42,1424,1.2,2.4,27.8,10.6,370.4,916.9,136.7
Mississippi,MS,South,6,6,"2,178,141",704.7,102.7,602,10,5.1,14.9,72.6,204.7,349.1,48.3
Missouri,MO,Midwest,4,5,"4,319,813",1972.6,172.9,1799.7,4.4,14.5,90.6,63.4,595.2,1019.7,184.8
Montana,MT,West,2,3,"674,767",2052.6,67.1,1985.4,3.9,7.1,27.6,28.6,396.4,1345.5,243.5
Nebraska,NE,Midwest,4,4,"1,411,330",1219.6,41.8,1177.8,2.3,4.2,17.9,17.4,231.5,820.9,125.4
Nevada,NV,West,3,2,"285,278",3440.5,145.8,3294.7,8.8,12.6,74,50.5,913.5,1989.3,391.9
New Hampshire,NH,Northeast,1,11,"606,921",689.7,13.3,676.4,1.3,4.1,3,4.9,182.6,436,57.8
New Jersey,NJ,Northeast,3,9,"6,066,782",1490.8,114.3,1376.5,2.7,7.3,42.7,61.6,423.6,756.6,196.3
New Mexico,NM,West,5,3,"951,023",2386.6,143,2243.6,7.4,12.3,39.5,83.8,455.4,1524.8,263.4
North Carolina,NY,Northeast,2,9,"4,556,155",1179.5,223.5,956,10.6,7.8,18.1,187,279.4,589.6,86.9
North Dakota,NC,South,5,7,"632,446",891,14.2,876.8,0.5,2.2,6.3,5.2,198,610.8,68
Ohio,ND,Midwest,2,4,"9,706,397",1558.8,83.7,1475.2,3.2,5.9,40.1,34.5,383.9,956.7,134.6
Oklahoma,OH,Midwest,3,7,"2,328,284",2015.3,97,1918.4,7.5,12.8,39.9,36.8,551.2,1171.2,195.9
Oregon,OK,South,6,4,"1,768,687",1977.2,69.7,1907.5,2.4,9.4,31.8,26,405.7,1371.2,130.7
Pennsylvania,OR,West,3,1,"11,319,366",1049.4,99,950.5,2.6,8.8,33.9,53.6,297.8,530.3,122.4
Rhode Island,PA,Northeast,3,8,"859,488",2072.4,36.8,2035.6,1,2.3,14.2,19.2,510.5,1216.4,308.7
South Carolina,RI,Northeast,2,10,"2,382,594",1500.2,143.7,1356.5,13.2,9.9,20.1,100.6,423.1,824.1,109.2
South Dakota,SC,South,5,8,"680,514",1164,41.4,1122.5,2.1,5.4,9.1,24.8,247.9,788.1,86.6
