State,Initial,Population,Index,Violent,Property,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto,Region,Row,Column
Alabama,AL,"3,566,000",1999,232.4,1766.6,11.8,11.1,41,168.5,628.2,967.7,170.7,South,6,7
Alaska,AK,"277,000",3320.9,175.5,3145.5,10.5,21.7,52.7,90.6,747.3,1915.9,482.3,West,0,0
Arizona,AZ,"1,670,000",4874.4,263.6,4610.8,6.3,18.7,86.7,151.9,1167.4,3022.2,421.2,West,5,2
Arkansas,AR,"2,012,000",1958.5,216.7,1741.8,8.1,17.3,39.6,151.7,569.7,1068.9,103.2,South,5,5
California,CA,"19,221,000",5721.1,422.9,5298.2,6,29.9,192.5,194.6,1644.5,3032.3,621.4,West,4,1
Colorado,CO,"2,048,000",3862.6,263,3599.6,5.4,26.1,96.5,135,917,2262,420.6,West,4,3
Connecticut,CT,"2,959,000",2890.4,129.3,2761.1,2.5,8,45,73.7,964.4,1420.5,376.1,Northeast,3,10
Delaware,DE,"534,000",3165.5,241.2,2924.3,8.4,14,105.1,113.7,885,1619.3,420,Northeast,5,9
Florida,FL,"6,160,000",4498.5,453.1,4045.4,11.9,18.1,159.9,263.3,1327,2398.5,319.9,South,7,9
Georgia,GA,"4,588,000",2156.1,215.8,1940.3,13.9,13.5,47.5,141,660.8,1043.1,236.4,South,6,8
Hawaii,HI,"778,000",4438.3,85.1,4353.2,2.8,7.2,22.6,52.4,1363.8,2483.7,505.8,West,7,1
Idaho,ID,"705,000",2121.4,73.5,2047.9,2.3,8.4,11.8,51.1,470.6,1459.1,118.2,West,2,2
Illinois,IL,"10,974,000",3237.9,408,2829.8,8.1,16.4,211.5,172,683.6,1705.2,441,Midwest,2,6
Indiana,IN,"5,067,000",2920.2,201.9,2718.4,4.8,14.6,101,81.4,743.9,1562.5,411.9,Midwest,3,6
Iowa,IA,"2,748,000",2143.7,68.5,2075.2,1.7,6.8,25,35,474.1,1436.5,164.6,Midwest,3,5
Kansas,KS,"2,303,000",2723.7,150.4,2573.3,3.7,13.2,47.5,85.8,615.6,1752.2,205.5,Midwest,5,4
Kentucky,KY,"3,229,000",1991,164.7,1826.4,8.9,10.2,60.1,85.4,522.5,971.7,332.2,South,4,6
Louisiana,LA,"3,732,000",2507.3,314.6,2192.7,9.5,16.4,90.3,198.4,678,1232.1,282.6,South,6,5
Maine,ME,"979,000",1682.1,64.7,1617.5,3,6.7,8.8,46.2,513.7,970.1,133.7,Northeast,0,11
Maryland,DE,"3,757,000",4579.7,623,3956.8,9.3,26,275.6,312,1301.2,2050.6,605,South,4,9
Massachusetts,MA,"5,437,000",3067.9,164,2903.9,3.5,9.5,74.3,76.7,868.3,1229,806.6,Northeast,2,11
Michigan,MI,"8,740,000",4170.6,426.7,3743.9,7.7,31.3,209.6,178.2,1163.2,2150.5,430.2,Midwest,2,8
Minnesota,MN,"3,646,000",2963.3,140.2,2823.1,2.2,10.9,81.2,45.9,801.8,1670.2,351.1,Midwest,2,5
Mississippi,MS,"2,342,000",1087.2,145,942.2,9.9,7.6,13.2,114.3,313.7,556.4,72,South,6,6
Missouri,MO,"4,627,000",3584.2,328.9,3255.3,8.8,23.3,153.6,143.2,976.6,1832.3,446.4,Midwest,4,5
Montana,MT,"693,000",2542,88,2454,3.3,7.2,18.2,59.3,567.8,1687.7,198.4,West,2,3
Nebraska,NE,"1,437,000",2408,146.3,2261.7,2.3,7.2,49.6,87.3,507.4,1451.8,302.4,Midwest,4,4
Nevada,NV,"453,000",4462,278.4,4183.7,5.5,17.4,142.8,112.6,1282.1,2451.9,449.7,West,3,2
New Hampshire,NH,"702,000",1297.9,39.7,1258.1,1.4,2.7,10.3,25.4,371.1,745.7,141.3,Northeast,1,11
New Jersey,NJ,"7,078,000",3254.3,236.1,3018.2,5.1,11.3,123.6,96.1,1011.9,1487.8,518.5,Northeast,3,9
New Mexico,NM,"1,015,000",3797,250.5,3546.5,6.4,21.1,50.5,172.5,970.2,2245.5,330.7,West,5,3
New York,NY,"18,113,000",4579.3,543.9,4035.4,6.5,14,330.5,192.9,1385.3,2071.1,579,Northeast,2,9
North Carolina,NC,"5,135,000",2006.9,351,1655.9,10.2,11.3,37.6,291.9,539.7,962.8,153.3,South,5,7
North Dakota,ND,"625,000",1405.1,27.7,1377.4,1.1,4.6,5.8,16.2,239,1057.8,80.6,Midwest,2,4
Ohio,OH,"10,591,000",2780.9,200.4,2580.5,5.3,12.4,102,80.7,659.4,1540.9,380.2,Midwest,3,7
Oklahoma,OK,"2,518,000",2621.3,177.6,2443.7,6.4,15.2,49.3,106.7,726.4,1502.1,215.2,South,6,4
Oregon,OR,"2,008,000",3734,197,3537,3.2,17.2,76.5,100,945.1,2321.3,270.6,West,3,1
Pennsylvania,PA,"11,712,000",1937,176.8,1760.2,4.1,10.3,85.2,77.3,556.3,923.9,280,Northeast,3,8
Rhode Island,RI,"913,000",3885.5,137.3,3748.2,2.4,3.7,49.3,81.9,1089.6,1893.1,765.5,Northeast,2,10
South Carolina,SC,"2,692,000",2175.6,217.4,1958.2,13.6,15,42.8,146,708.5,1065.9,183.8,South,5,8
South Dakota,SD,"657,000",1753.1,85.7,1667.4,3.8,10.2,19.3,52.4,430.1,1133.8,103.5,Midwest,3,4
Tennessee,TN,"3,976,000",2174.7,220.5,1954.2,8.7,11.6,71.2,129,719.7,967.1,267.4,South,5,6
Texas,TX,"10,972,000",3478.3,270.2,3208.1,10.6,14.5,82.9,162.3,939.6,1957.1,311.4,South,7,4
Utah,UT,"1,034,000",3581.9,116.2,3465.8,2.9,11.1,33.7,68.5,741.3,2469.2,255.2,West,4,2
Vermont,VT,"422,000",1212.6,37.2,1175.4,2.6,7.3,6.2,21.1,496,593.6,85.8,Northeast,1,10
Virginia,VA,"4,597,000",2887.6,278.9,2608.7,10.3,15.6,65.8,187.2,786.4,1559.9,262.3,South,4,8
Washington,WA,"3,276,000",3965,212.8,3752.2,3.6,17.1,98.4,93.7,1019.5,2435.6,297.1,West,2,1
West Virginia,WV,"1,805,000",1165,108.5,1056.5,5.5,4.4,25.5,73.2,349.8,614.7,92,South,4,7
Wisconsin,WI,"4,213,000",2386.3,80.7,2305.6,2.2,6.2,33.1,39.2,503.8,1597.7,204.1,Midwest,2,7
Wyoming,WY,"315,000",2549.8,88.3,2461.6,6.3,8.9,12.4,60.6,545.1,1779.7,136.8,West,3,3
