State,Initial,Population,Index,Violent,Property,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto,Inmates,New Index *,Index/ Inmates,Region,Row,Column
Alabama,AL,"4,525,375",4456.3,427,4029.3,5.6,38.5,133.5,249.4,987,2732.4,309.9,559.8,829.9,1.5,South,6,7
Alaska,AK,"657,755",4003.2,632.3,3370.9,5.6,84.8,68,473.9,573.6,2456.7,340.6,397.8,969.4,2.4,West,0,0
Arizona,AZ,"5,739,879",5577.7,504.4,5073.3,7.2,33,134.5,329.6,991,3118.7,963.5,540.1,1011.7,1.9,West,5,2
Arkansas,AR,"2,750,000",4535.4,502.3,4033.1,6.4,43,86.3,366.7,1096.4,2699.7,237,497.7,905.6,1.8,South,5,5
California,CA,"35,842,038",3970.8,527.8,3423.9,6.7,26.8,172.3,322,686.1,2033.1,704.8,463.8,870.2,1.9,West,4,1
Colorado,CO,"4,601,403",4290.5,372,3918.5,4.4,42.3,81.3,244.2,717.3,2679.5,521.6,441.2,763.9,1.7,West,4,3
Connecticut,CT,"3,503,604",2973.9,289,2684.9,2.9,21.6,119.7,144.9,456.1,1908.3,320.5,381.1,557.5,1.5,Northeast,3,10
Delaware,DE,"830,069",3898.6,615,3283.6,3.4,43,161.8,406.8,683,2323.3,277.3,494.4,943.4,1.9,Northeast,5,9
Florida,FL,"17,385,430",4894.3,711.8,4182.5,5.4,38,172.5,495.8,956.7,2775.2,450.5,492.3,1130.1,2.3,South,7,9
Georgia,GA,"8,918,129",4674.5,451,4223.5,6.9,26.8,153.1,264.2,930.6,2796.8,496,573.2,873.4,1.5,South,6,8
Hawaii,HI,"1,262,124",5050.1,254.6,4795.5,2.6,26.4,74.8,150.8,857.8,3254.7,683,333.2,734.2,2.2,West,7,1
Idaho,ID,"1,395,140",3028.4,247.4,2781,2.2,42.6,17.3,185.4,549.8,2034.8,196.3,458.1,525.5,1.1,West,2,2
Illinois,IL,"12,712,016",3719.8,545.7,3174.1,6.1,33.2,177.6,328.7,598.6,2257.9,317.6,348.4,863.1,2.5,Midwest,2,6
Indiana,IN,"6,226,537",3729.5,325.9,3403.6,5.1,29,102.4,189.5,677.2,2387.7,338.7,385.2,666.3,1.7,Midwest,3,6
