Abbreviation,State,Region,Row,Column
AL,Alabama,South,6,7
AK,Alaska,West,0,0
AZ,Arizona,West,5,2
AR,Arkansas,South,5,5
CA,California,West,4,1
CO,Colorado,West,4,3
CT,Connecticut,Northeast,3,10
DE,Delaware,Northeast,5,9
FL,Florida,South,7,9
GA,Georgia,South,6,8
HI,Hawaii,West,7,1
ID,Idaho,West,2,2
IL,Illinois,Midwest,2,6
IN,Indiana,Midwest,3,6
IA,Iowa,Midwest,3,5
KS,Kansas,Midwest,5,4
KY,Kentucky,South,4,6
LA,Louisiana,South,6,5
ME,Maine,Northeast,0,11
MD,Maryland,South,4,9
MA,Massachusetts,Northeast,2,11
MI,Michigan,Midwest,2,8
MN,Minnesota,Midwest,2,5
MS,Mississippi,South,6,6
MO,Missouri,Midwest,4,5
MT,Montana,West,2,3
NE,Nebraska,Midwest,4,4
NV,Nevada,West,3,2
NH,New Hampshire,Northeast,1,11
NJ,New Jersey,Northeast,3,9
NM,New Mexico,West,5,3
NY,New York,Northeast,2,9
NC,North Carolina,South,5,7
ND,North Dakota,Midwest,2,4
OH,Ohio,Midwest,3,7
OK,Oklahoma,South,6,4
OR,Oregon,West,3,1
PA,Pennsylvania,Northeast,3,8
RI,Rhode Island,Northeast,2,10
SC,South Carolina,South,5,8
SD,South Dakota,Midwest,3,4
TN,Tennessee,South,5,6
TX,Texas,South,7,4
UT,Utah,West,4,2
VT,Vermont,Northeast,1,10
VA,Virginia,South,4,8
WA,Washington,West,2,1
WV,West Virginia,South,4,7
WI,Wisconsin,Midwest,2,7
WY,Wyoming,West,3,3
